0	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
1	1.000079	0.000167	-1.594737	-0.000167	1.000079	0.426741	
2	1.000039	0.000188	-1.387127	-0.000188	1.000039	0.430084	
3	1.000074	0.000328	-2.999008	-0.000328	1.000074	0.425580	
4	1.000121	0.000096	-1.562534	-0.000096	1.000121	0.052827	
5	1.000107	0.000165	-1.430021	-0.000165	1.000107	0.147885	
6	1.000120	0.000118	-1.317194	-0.000118	1.000120	-0.010390	
7	1.000084	0.000121	-1.257963	-0.000121	1.000084	-0.017601	
8	0.999978	0.000263	-2.628965	-0.000263	0.999978	0.069799	
9	0.999989	0.000128	-1.299108	-0.000128	0.999989	0.300531	
10	0.999972	0.000080	-1.165110	-0.000080	0.999972	-0.150011	
11	0.999965	0.000103	-1.065804	-0.000103	0.999965	0.070175	
12	1.000035	0.000100	-1.111124	-0.000100	1.000035	-0.120403	
13	1.000081	0.000134	-2.077265	-0.000134	1.000081	0.199837	
14	1.000142	0.000099	-1.074586	-0.000099	1.000142	0.226989	
15	1.000106	0.000138	-0.967273	-0.000138	1.000106	0.178868	
16	1.000074	0.000077	-0.871845	-0.000077	1.000074	0.013919	
17	1.000087	0.000114	-0.759887	-0.000114	1.000087	0.127016	
18	1.000104	0.000034	-1.344469	-0.000034	1.000104	-0.106506	
19	1.000106	0.000102	-0.513218	-0.000102	1.000106	-0.085193	
20	1.000067	0.000058	-0.344980	-0.000058	1.000067	-0.025956	
21	1.000067	0.000014	-0.325706	-0.000014	1.000067	0.116200	
22	1.000034	0.000010	-0.299807	-0.000010	1.000034	-0.025293	
23	0.999958	0.000078	-0.318421	-0.000078	0.999958	0.040351	
24	1.000011	0.000078	-0.158862	-0.000078	1.000011	0.091062	
25	1.000017	0.000067	-0.142823	-0.000067	1.000017	0.043218	
26	1.000036	0.000045	-0.143018	-0.000045	1.000036	0.234856	
27	0.999990	0.000093	-0.043040	-0.000093	0.999990	-0.015146	
28	0.999790	0.000017	-0.218756	-0.000017	0.999790	0.142291	
